event_id,event_start_date,event_end_date,occurrence_year,occurrence_month,end_year,end_month,event_year,event_month,event_quarter,year_month,loss_amount_10k_cny,gross_loss_cny,recovery_amount_cny,net_loss_cny,log_gross_loss,loss_severity_bucket,is_high_loss,bank_involved_code_raw,num_banks_involved,primary_bank_code,province_occurred,city_occurred,causal_factor,event_type,business_line,event_duration_months,description
2300,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,7.0,70000.0,0.0,70000.0,11.156264806643742,Low,0,7,1,7,"Beijing,Heilongjiang",Harbin,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Beijing,Heilongjiang, Harbin."
2301,2019-04-01,,2019.0,4.0,2019.0,,2019.0,4.0,2.0,2019-04,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,39,1,39,Liaoning,Shenyang,People,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by People in Asset management located in Liaoning, Shenyang."
2302,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,3.0,30000.0,0.0,30000.0,10.308985993422082,Low,0,155,1,155,Beijing,Wuhu,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Beijing, Wuhu."
2303,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,5.0,50000.0,0.0,50000.0,10.819798284210286,Low,0,155,1,155,Beijing,Wuhu,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Beijing, Wuhu."
2304,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,155,1,155,Liaoning,Shenyang,People,"Execution, delivery & process management",No business line,,"Operational risk event: Execution, delivery & process management caused by People in No business line located in Liaoning, Shenyang."
2305,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,80.0,800000.0,0.0,800000.0,13.592368256649284,Medium,0,7,1,7,Liaoning,Shenyang,People,"Clients, products & business practices",Retail banking,,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Liaoning, Shenyang."
2306,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,160.0,1600000.0,0.0,1600000.0,14.285514812209815,High,0,155,1,155,"Beijing,Jilin",Jilin,People,"Clients, products & business practices",Trading & sales,,"Operational risk event: Clients, products & business practices caused by People in Trading & sales located in Beijing,Jilin, Jilin."
2307,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,4,1,4,Guizhou,Guiyang,People,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by People in Asset management located in Guizhou, Guiyang."
2308,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,20.0,200000.0,0.0,200000.0,12.206077645517674,Medium,0,16,1,16,"Beijing,Chongqing",,Process,"Clients, products & business practices",Trading & sales,,"Operational risk event: Clients, products & business practices caused by Process in Trading & sales located in Beijing,Chongqing, Unknown city."
2309,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,70.0,700000.0,0.0,700000.0,13.45883704259595,Medium,0,10,1,10,Chongqing,,People,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by People in Asset management located in Chongqing, Unknown city."
2310,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,0.4,4000.0,0.0,4000.0,8.294299608857235,Low,0,155,1,155,,"Chengdu,Liangshan",Process,"Clients, products & business practices",Payment and settlement,,"Operational risk event: Clients, products & business practices caused by Process in Payment and settlement located in Unknown province, Chengdu,Liangshan."
2311,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,32,1,32,,Tangshan,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Unknown province, Tangshan."
2312,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,18,1,18,,Dalian,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Unknown province, Dalian."
2313,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,,0,,Liaoning,Dalian,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Liaoning, Dalian."
2314,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,40.0,400000.0,0.0,400000.0,12.899222326086994,Medium,0,"6,67",2,6,"Beijing,Hubei",Enshi,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Beijing,Hubei, Enshi."
