province_occurred,city_occurred,location_id
"Shanghai,Guangxi",,LOC-0516
Beijing,"Nanjing,Qingdao,Shenzhen",LOC-0517
"Tianjin,Heilongjiang,Shanghai","Harbin,Wenzhou",LOC-0518
Sichuan,"Shenzhen,Jiangmen",LOC-0519
"Shanghai,Hunan,Chongqing,Guizhou","Changsha,Hengyang,Dongfang,Guiyang",LOC-0520
"Shanghai,Zhejiang,Jiangxi,Hubei,Qinghai","Wenzhou,Hangzhou,Huzhou,Shaoxing",LOC-0521
,Fuzhou,LOC-0522
"Chongqing,Macao",Baiyin,LOC-0523
"Beijing,Shanghai,Jiangsu,Guangdong",,LOC-0524
"Beijing,Heilongjiang,Shanghai",Foshan,LOC-0525
,Xi'an,LOC-0526
"Shanghai,Jiangsu,Jiangxi,Shandong,Guangdong","Zhenjiang,Wenzhou,Xinyu,Zhongshan",LOC-0527
,Jinan,LOC-0528
"Zhejiang,Shandong,Xinjiang","Xuzhou,Linyi",LOC-0529
"Shandong,Hongkong",Yantai,LOC-0530
"Beijing,Zhejiang,Hongkong",Wenzhou,LOC-0531
"Sichuan,Hongkong,Macao",Zhuhai,LOC-0532
Jiangsu,"Wuxi,Zhengzhou",LOC-0533
"Anhui,Jiangxi,Guangdong,Hongkong","Nanchang,Dongfang,Lingao",LOC-0534
"Beijing,Jilin","Jilin,Dezhou",LOC-0535
,Dongguan,LOC-0536
,Qingdao,LOC-0537
Shanghai,Dalian,LOC-0538
"Tianjin,Hongkong","Nanjing,Jinan,Qingdao,Weifang,Shenzhen",LOC-0539
Shanghai,Baiyin,LOC-0540
"Shanghai,Zhejiang",Wenzhou,LOC-0541
,Nantong,LOC-0542
Zhejiang,"Wenzhou,Huangshan",LOC-0543
"Guangxi,Chongqing","Nanning,Hechi",LOC-0544
"Jiangsu,Zhejiang",,LOC-0545
"Guangxi,Yunnan","Yulin,Liuzhou,Qujing",LOC-0546
Jiangsu,"Nanjing,Lianyungang",LOC-0547
,Xiantao,LOC-0548
Zhejiang,"Wenzhou,Lishui",LOC-0549
"Zhejiang,Guangxi,Chongqing",Beihai,LOC-0550
Yunnan,"Dalian,Wenshan",LOC-0551
,Luzhou,LOC-0552
,"Shijiazhuang,Chengdu",LOC-0553
,Nanchang,LOC-0554
Shandong,"Xiamen,Qingdao",LOC-0555
"Inner mongolia,Inner mongolia",,LOC-0556
"Guangdong,Guangxi","Yulin,Nanning",LOC-0557
"Jiangsu,Zhejiang","Nanjing,Wenzhou,Hangzhou,Taizhou,Xi'an,Tianshui",LOC-0558
Guangxi,Guigang,LOC-0559
Zhejiang,"Wenzhou,Hangzhou",LOC-0560
"Zhejiang,Fujian",Shaoxing,LOC-0561
"Hubei,Guangdong","Jiangmen,Yangjiang",LOC-0562
"Hubei,Guangdong","Nanchang,Dongguan",LOC-0563
"Beijing,Shanghai,Guangdong","Zhanjiang,Nanning",LOC-0564
"Zhejiang,Jiangxi",Ningbo,LOC-0565
"Beijing,Tibet","Harbin,Shenzhen",LOC-0566
"Beijing,Zhejiang",Jinhua,LOC-0567
"Zhejiang,Hunan,Hongkong","Ningbo,Changsha,Hengyang",LOC-0568
Beijing,Dalian,LOC-0569
"Jiangsu,Zhejiang","Shenyang,Zhenjiang,Taizhou",LOC-0570
"Shanghai,Zhejiang,Hunan,Shaanxi","Hangzhou,Jinan,Yiyang",LOC-0571
"Beijing,Hebei,Shaanxi","Shijiazhuang,Xianyang",LOC-0572
"Jiangxi,Henan","Ganzhou,Zhengzhou,Xuchang",LOC-0573
"Shanghai,Zhejiang,Chongqing",,LOC-0574
"Shandong,Gansu",Lanzhou,LOC-0575
Zhejiang,"Hangzhou,Shenzhen",LOC-0576
"Inner mongolia,Tibet,Inner mongolia",Tongliao,LOC-0577
,"Fuzhou,Putian",LOC-0578
"Shanghai,Anhui,Fujian,Guangdong,Macao","Anshan,Jinan,Zhongshan",LOC-0579
Heilongjiang,"Nanjing,Zhenjiang",LOC-0580
,Harbin,LOC-0581
"Beijing,Shanghai,Zhejiang,Hongkong","Nanjing,Hangzhou,Shenzhen",LOC-0582
"Beijing,Shanghai,Hainan,Hongkong","Nanjing,Shenzhen",LOC-0583
Zhejiang,"Hangzhou,Jinhua",LOC-0584
"Beijing,Tianjin,Shanxi",Linfen,LOC-0585
Hebei,Langfang,LOC-0586
"Zhejiang,Hunan","Ningbo,Shenzhen",LOC-0587
"Fujian,Yunnan",Ningbo,LOC-0588
Hunan,"Hengyang,Shenzhen",LOC-0589
"Beijing,Shanghai,Hunan,Shaanxi",Hangzhou,LOC-0590
Shanghai,Ningbo,LOC-0591
Hainan,Wanning,LOC-0592
Zhejiang,"Nanjing,Zhoushan",LOC-0593
Guangxi,Dongguan,LOC-0594
,Xiamen,LOC-0595
,Hohhot,LOC-0596
"Shanxi,Zhejiang","Taiyuan,Wenzhou",LOC-0597
,Suzhou,LOC-0598
"Jiangsu,Yunnan",Nanjing,LOC-0599
,Wuhu,LOC-0600
,Xingtai,LOC-0601
Guangxi,"Tangshan,Nanning",LOC-0602
,Qiqihar,LOC-0603
"Shanxi,Jiangsu,Zhejiang","Nantong,Wenzhou,Xiamen",LOC-0604
,Hangzhou,LOC-0605
,Weihai,LOC-0606
"Henan,Guangdong,Hongkong,Macao",,LOC-0607
"Zhejiang,Jiangxi,Hubei","Hangzhou,Jiaxing",LOC-0608
"Shanghai,Zhejiang,Shandong,Hunan,Hongkong","Wenzhou,Qingdao,Jining,Weifang,Zhuzhou,Shenzhen",LOC-0609
Hunan,"Suzhou,Lishui",LOC-0610
"Shanxi,Jiangsu,Zhejiang,Fujian,Guangdong,Chongqing","Xuzhou,Wenzhou,Ningbo,Hangzhou,Huzhou",LOC-0611
"Inner mongolia,Fujian,Inner mongolia",Ningde,LOC-0612
"Shanghai,Xinjiang","Urumqi,Karamay",LOC-0613
"Guangxi,Xinjiang","Taiyuan,Urumqi,Wujiaqu",LOC-0614
Guangdong,Nanchang,LOC-0615
,"Shijiazhuang,Jinan,Taian",LOC-0616
"Shanghai,Zhejiang",Jinhua,LOC-0617
,"Tangshan,Qinhuangdao",LOC-0618
"Shandong,Shaanxi",Rizhao,LOC-0619
,"Xiamen,Jinan",LOC-0620
Qinghai,,LOC-0621
Shanxi,"Taiyuan,Yangquan",LOC-0622
"Shanghai,Anhui",Liuzhou,LOC-0623
,Nanning,LOC-0624
Guangxi,"Fuxin,Jinan,Qingdao,Zibo,Weifang",LOC-0625
,"Sanya,Dongfang",LOC-0626
Qinghai,Huangnan,LOC-0627
Gansu,"Lanzhou,Tianshui",LOC-0628
,"Xi'an,Xining",LOC-0629
Shanghai,"Nanjing,Dongfang",LOC-0630
Jiangxi,,LOC-0631
Shandong,Taiyuan,LOC-0632
Shanghai,Dongfang,LOC-0633
Beijing,"Nanjing,Zhongshan",LOC-0634
,Dongfang,LOC-0635
"Fujian,Hongkong","Changzhou,Ningbo,Ding'an",LOC-0636
,Chaoyang,LOC-0637
Jiangsu,"Wuxi,Wenzhou",LOC-0638
,Chengdu,LOC-0639
"Zhejiang,Guangdong",Taizhou,LOC-0640
Shanghai,Suining,LOC-0641
"Beijing,Liaoning",Shenyang,LOC-0642
Jilin,"Jilin,Harbin",LOC-0643
Hainan,"Wenchang,Changjiang",LOC-0644
Jilin,"Jilin,Wenzhou",LOC-0645
,"Jinan,Qingdao",LOC-0646
,Yichun,LOC-0647
,"Handan,Shenzhen",LOC-0648
"Jiangsu,Zhejiang,Qinghai","Suzhou,Jiaxing,Xining",LOC-0649
"Zhejiang,Anhui",Ningbo,LOC-0650
Hebei,Qinhuangdao,LOC-0651
Henan,"Dezhou,Shangqiu",LOC-0652
"Beijing,Henan",,LOC-0653
"Beijing,Hebei,Shandong",,LOC-0654
,Sanya,LOC-0655
,"Suzhou,Xuzhou,Nanjing,Nantong",LOC-0656
,"Shenzhen,Chaozhou",LOC-0657
Guangdong,"Shenzhen,Chaozhou",LOC-0658
,"Nantong,Changsha",LOC-0659
"Jiangsu,Zhejiang,Jiangxi,Chongqing,Guizhou","Wenzhou,Hangzhou,Taizhou,Shenzhen",LOC-0660
"Jilin,Guangxi,Chongqing,Sichuan,Guizhou","Jilin,Beihai,Chengdu,Guiyang,Kunming",LOC-0661
"Inner mongolia,Shanghai,Zhejiang,Fujian,Hainan,Yunnan,Qinghai,Inner mongolia",Putian,LOC-0662
,"Taiyuan,Chengdu",LOC-0663
Zhejiang,"Wenzhou,Ningbo",LOC-0664
"Shanghai,Henan",Zhengzhou,LOC-0665
"Jilin,Heilongjiang","Jilin,Mudanjiang",LOC-0666
,"Wenzhou,Ningbo",LOC-0667
"Beijing,Shandong,Hainan",,LOC-0668
"Anhui,Fujian,Hubei,Hunan,Guangdong","Xiamen,Huangshi,Loudi,Dongguan",LOC-0669
,Ding'an,LOC-0670
"Anhui,Shandong",,LOC-0671
Jilin,"Jilin,Dongguan",LOC-0672
"Zhejiang,Anhui,Jiangxi,Henan,Sichuan,Guizhou","Ningbo,Nanchang",LOC-0673
,"Dalian,Zhongshan",LOC-0674
"Beijing,Shanghai,Zhejiang,Fujian,Henan,Guangdong","Xiamen,Quanzhou,Zhengzhou",LOC-0675
Beijing,"Harbin,Shenzhen",LOC-0676
"Beijing,Zhejiang","Jinhua,Lishui",LOC-0677
,Changzhou,LOC-0678
Hainan,Wenchang,LOC-0679
,Lingao,LOC-0680
"Jiangsu,Anhui,Hunan",Loudi,LOC-0681
"Liaoning,Hainan,Sichuan,Yunnan",Anshan,LOC-0682
Hainan,Shenzhen,LOC-0683
Shaanxi,Hanzhong,LOC-0684
"Jiangsu,Fujian",Fuzhou,LOC-0685
"Jilin,Jiangsu,Hubei,Hunan,Sichuan","Jilin,Yanbian,Qianjiang",LOC-0686
"Jiangsu,Hunan",,LOC-0687
"Hunan,Tibet","Yongzhou,Liuzhou,Laibin",LOC-0688
"Guangdong,Guangxi,Chongqing,Sichuan,Guizhou","Liuzhou,Hechi",LOC-0689
,Dezhou,LOC-0690
,Zhanjiang,LOC-0691
"Inner mongolia,Inner mongolia",Shijiazhuang,LOC-0692
Guangxi,"Liuzhou,Hechi",LOC-0693
Fujian,"Fuzhou,Sanming",LOC-0694
"Shanghai,Zhejiang",,LOC-0695
"Jiangsu,Zhejiang,Fujian,Guangdong,Guangxi","Shaoxing,Shenzhen",LOC-0696
"Henan,Guangdong",Dongguan,LOC-0697
Henan,Taizhou,LOC-0698
"Jiangsu,Hongkong","Xuzhou,Shenzhen",LOC-0699
"Shanghai,Anhui,Hongkong",,LOC-0700
Beijing,Shannan,LOC-0701
,Guang'an,LOC-0702
"Shanghai,Shandong","Jinan,Weifang,Shenzhen",LOC-0703
,"Beihai,Nanning,Liuzhou,Guilin,Hezhou",LOC-0704
Sichuan,"Chengdu,Guang'an",LOC-0705
"Heilongjiang,Hainan,Sichuan","Nanjing,Hangzhou,Mianyang",LOC-0706
"Beijing,Shanghai",Chaoyang,LOC-0707
Heilongjiang,"Shenyang,Chaoyang,Jinan,Qingdao",LOC-0708
Shanghai,Harbin,LOC-0709
,Linyi,LOC-0710
,"Zhenjiang,Dongfang",LOC-0711
Guangxi,"Chaoyang,Nanning",LOC-0712
Beijing,Shenyang,LOC-0713
Shandong,"Xiamen,Jinan,Dongguan,Shenzhen,Foshan,Qingyuan,Haidong",LOC-0714
,Jining,LOC-0715
"Fujian,Guangdong","Xiamen,Dongguan,Zhongshan,Shenzhen,Qingyuan",LOC-0716
Fujian,"Xiamen,Fuzhou",LOC-0717
,Shaoxing,LOC-0718
"Beijing,Anhui",Chaoyang,LOC-0719
"Beijing,Anhui",Suzhou,LOC-0720
Jilin,"Jilin,Changchun",LOC-0721
"Shanghai,Zhejiang,Anhui,Hongkong",Hangzhou,LOC-0722
"Chongqing,Sichuan",Suining,LOC-0723
Macao,,LOC-0724
Sichuan,"Chengdu,Xi'an",LOC-0725
"Liaoning,Jilin,Henan","Dalian,Jilin,Changchun",LOC-0726
Shanghai,Chaoyang,LOC-0727
"Beijing,Hebei",,LOC-0728
Jiangxi,"Ganzhou,Shenzhen",LOC-0729
"Shanghai,Zhejiang",Shaoxing,LOC-0730
"Beijing,Macao",,LOC-0731
"Beijing,Guangdong",,LOC-0732
"Zhejiang,Hunan",,LOC-0733
Ningxia,"Dalian,Yinchuan",LOC-0734
"Shanghai,Sichuan",Chengdu,LOC-0735
,Dalian,LOC-0736
Beijing,Jinhua,LOC-0737
Shandong,"Zibo,Xi'an",LOC-0738
Beijing,"Shaoxing,Jinan",LOC-0739
"Beijing,Shaanxi",Hanzhong,LOC-0740
"Beijing,Shaanxi","Nanyang,Xi'an,Shangluo",LOC-0741
Beijing,Fuzhou,LOC-0742
Beijing,Kunming,LOC-0743
"Beijing,Guizhou",Guiyang,LOC-0744
"Beijing,Zhejiang",,LOC-0745
Beijing,Shangluo,LOC-0746
"Beijing,Tianjin,Jiangsu",Nanjing,LOC-0747
"Beijing,Jiangsu",,LOC-0748
Beijing,"Hohhot,Wuhai",LOC-0749
Beijing,Heze,LOC-0750
Beijing,Ili,LOC-0751
,"Chengdu,Deyang",LOC-0752
Heilongjiang,Da hinggan ling,LOC-0753
"Beijing,Tianjin,Shanghai,Chongqing","Shijiazhuang,Qinhuangdao,Hohhot,Shenyang,Changchun,Suzhou,Xuzhou,Wuxi,Nanjing,Ningbo,Hangzhou,Xiamen,Fuzhou,Jinan,Qingdao,Zhengzhou,Luoyang,Changsha,Shenzhen,Chengdu,Guiyang,Kunming,Xi'an",LOC-0754
"Beijing,Jiangsu",Taizhou,LOC-0755
"Beijing,Henan",Xuchang,LOC-0756
Beijing,Taizhou,LOC-0757
Beijing,Pingxiang,LOC-0758
"Beijing,Jiangxi","Nanchang,Pingxiang",LOC-0759
Zhejiang,"Jinhua,Shaoxing",LOC-0760
,Jinhua,LOC-0761
,Yancheng,LOC-0762
"Beijing,Heilongjiang","Dalian,Heihe",LOC-0763
"Beijing,Shanghai,Fujian,Sichuan,Tibet",,LOC-0764
,Jiamusi,LOC-0765
Beijing,Weihai,LOC-0766
"Shanghai,Qinghai",Xining,LOC-0767
Qinghai,"Xining,Haixi",LOC-0768
"Beijing,Zhejiang",Huzhou,LOC-0769
"Beijing,Jiangxi",Nanchang,LOC-0770
"Beijing,Sichuan",,LOC-0771
Beijing,"Jinan,Dongying",LOC-0772
Beijing,Jingdezhen,LOC-0773
Shanghai,Shenzhen,LOC-0774
"Shanghai,Yunnan","Ningbo,Shenzhen,Kunming",LOC-0775
,Lanzhou,LOC-0776
"Beijing,Xinjiang",,LOC-0777
"Beijing,Qinghai",Haibei,LOC-0778
"Beijing,Jiangxi","Nanchang,Fuzhou",LOC-0779
Jilin,"Jilin,Zunyi",LOC-0780
"Beijing,Tianjin",,LOC-0781
Beijing,Ningbo,LOC-0782
Beijing,"Hohhot,Alxa",LOC-0783
Beijing,"Hohhot,Ulanqab",LOC-0784
"Shandong,Yunnan","Dalian,Ningbo,Jinan,Qingdao,Kunming",LOC-0785
Beijing,Yanbian,LOC-0786
,Huaibei,LOC-0787
Beijing,Bengbu,LOC-0788
"Beijing,Shanghai",Bengbu,LOC-0789
Jiangxi,"Nanchang,Yichun",LOC-0790
"Beijing,Shanxi",Yuncheng,LOC-0791
"Beijing,Jilin","Jilin,Liaoyuan",LOC-0792
"Beijing,Yunnan",Kunming,LOC-0793
"Jiangsu,Hubei",Shiyan,LOC-0794
,Tongling,LOC-0795
Shanghai,Fuzhou,LOC-0796
"Anhui,Hongkong","Suzhou,Bengbu,Huaibei,Tongling,Chizhou",LOC-0797
Zhejiang,"Wenzhou,Ningbo,Hangzhou",LOC-0798
"Beijing,Chongqing",,LOC-0799
"Beijing,Anhui",,LOC-0800
"Beijing,Heilongjiang",,LOC-0801
Shandong,"Jinan,Zibo",LOC-0802
Beijing,"Jinan,Zibo",LOC-0803
Beijing,Wenzhou,LOC-0804
"Jilin,Shanghai","Jilin,Changchun",LOC-0805
"Beijing,Jilin","Jilin,Changchun",LOC-0806
,Jiyuan,LOC-0807
"Beijing,Shandong",Linyi,LOC-0808
Beijing,Ganzhou,LOC-0809
,Hulun buir,LOC-0810
Beijing,"Jinan,Binzhou",LOC-0811
,Anshan,LOC-0812
Ningxia,,LOC-0813
,Xuchang,LOC-0814
,"Ningde,Binzhou",LOC-0815
,Ningde,LOC-0816
,Huangnan,LOC-0817
,Ordos,LOC-0818
,Shangqiu,LOC-0819
"Beijing,Guangxi",,LOC-0820
Shanghai,Nantong,LOC-0821
"Beijing,Hubei",Jingmen,LOC-0822
,Bengbu,LOC-0823
"Beijing,Zhejiang","Nanjing,Hangzhou",LOC-0824
,"Jinan,Dezhou",LOC-0825
,Baicheng,LOC-0826
,Nanyang,LOC-0827
Beijing,Suzhou,LOC-0828
,Lishui,LOC-0829
,Bayannur,LOC-0830
Jilin,"Jilin,Baicheng",LOC-0831
Beijing,Meishan,LOC-0832
,Xuancheng,LOC-0833
,Baotou,LOC-0834
Beijing,Chengdu,LOC-0835
"Tianjin,Shanghai",,LOC-0836
,Zhongwei,LOC-0837
,Haixi,LOC-0838
Beijing,"Zhengzhou,Anyang",LOC-0839
,Alxa,LOC-0840
,Ulanqab,LOC-0841
"Beijing,Shandong",Taian,LOC-0842
"Beijing,Heilongjiang",Harbin,LOC-0843
Beijing,Wuhu,LOC-0844
"Beijing,Jilin",Jilin,LOC-0845
,"Chengdu,Liangshan",LOC-0846
,Tangshan,LOC-0847
"Beijing,Hubei",Enshi,LOC-0848
"Hebei,Shanghai",Shijiazhuang,LOC-0849
,Huangshan,LOC-0850
,Linfen,LOC-0851
"Inner mongolia,Inner mongolia",Hohhot,LOC-0852
,Jiaxing,LOC-0853
,Leshan,LOC-0854
Shandong,"Qingdao,Zibo",LOC-0855
"Beijing,Shandong",Jinan,LOC-0856
"Tianjin,Shandong",Jinan,LOC-0857
,Guigang,LOC-0858
,Qinzhou,LOC-0859
Beijing,Qingdao,LOC-0860
"Beijing,Hebei",Shijiazhuang,LOC-0861
"Inner mongolia,Jiangsu,Henan,Inner mongolia","Dalian,Jinzhou,Fuxin,Lianyungang,Qingdao,Lanzhou,Baiyin",LOC-0862
"Beijing,Liaoning,Hongkong","Dalian,Jinzhou",LOC-0863
"Beijing,Inner mongolia,Inner mongolia",,LOC-0864
"Beijing,Fujian",Fuzhou,LOC-0865
"Beijing,Liaoning",Dalian,LOC-0866
"Tianjin,Heilongjiang,Sichuan,Hongkong",Panzhihua,LOC-0867
"Beijing,Zhejiang",Taizhou,LOC-0868
,"Dalian,Ali",LOC-0869
,Rizhao,LOC-0870
,Yangzhou,LOC-0871
"Guangxi,Chongqing",Shenzhen,LOC-0872
Beijing,Jiaxing,LOC-0873
"Beijing,Tibet",Lhasa,LOC-0874
Henan,"Zhengzhou,Luoyang",LOC-0875
Beijing,Huangshi,LOC-0876
Beijing,Baise,LOC-0877
Henan,Wenzhou,LOC-0878
Henan,"Jiaozuo,Yangjiang",LOC-0879
,Handan,LOC-0880
Henan,"Nanyang,Luoyang",LOC-0881
,Shuozhou,LOC-0882
"Inner mongolia,Inner mongolia",Alxa,LOC-0883
Guangxi,Chongzuo,LOC-0884
"Shanghai,Zhejiang,Chongqing","Taiyuan,Nanjing,Fuzhou,Sanming,Yantai",LOC-0885
Shanghai,Handan,LOC-0886
Beijing,"Lanzhou,Linxia",LOC-0887
"Beijing,Jilin","Jilin,Changchun,Baicheng",LOC-0888
Beijing,Changchun,LOC-0889
,Mianyang,LOC-0890
Beijing,"Taiyuan,Jincheng",LOC-0891
"Shanghai,Guizhou",Guiyang,LOC-0892
Beijing,Qiqihar,LOC-0893
,"Dalian,Xiamen",LOC-0894
,Langfang,LOC-0895
Beijing,Shaoxing,LOC-0896
"Shanghai,Guangdong",Shenzhen,LOC-0897
Beijing,Xuzhou,LOC-0898
Guizhou,Qiannan,LOC-0899
,"Ningbo,Shaoxing",LOC-0900
,Tonghua,LOC-0901
,"Shaoxing,Yan'an",LOC-0902
Tibet,Lhasa,LOC-0903
Hainan,"Qionghai,Dongfang,Danzhou,Lingao",LOC-0904
Beijing,Anshan,LOC-0905
"Shanghai,Anhui",,LOC-0906
Beijing,Liuzhou,LOC-0907
Liaoning,"Dalian,Zhongshan",LOC-0908
"Inner mongolia,Inner mongolia",Bayannur,LOC-0909
Shanxi,Jincheng,LOC-0910
"Anhui,Sichuan","Ningbo,Shenzhen,Chengdu,Mianyang,Guangyuan,Yibin",LOC-0911
"Tianjin,Hunan","Taiyuan,Dalian,Jinan,Zibo,Weifang,Weihai",LOC-0912
Xinjiang,Shihezi,LOC-0913
"Tianjin,Henan,Macao","Suzhou,Wuxi,Changzhou,Zhenjiang,Fuzhou,Jinan,Weifang,Zhengzhou,Shenzhen",LOC-0914
Jiangxi,Wenzhou,LOC-0915
"Beijing,Xinjiang",Changji,LOC-0916
"Beijing,Guizhou",Zunyi,LOC-0917
Hainan,"Shenzhen,Sanya",LOC-0918
Sichuan,"Shenzhen,Nanchong",LOC-0919
"Jilin,Henan",Jilin,LOC-0920
"Inner mongolia,Inner mongolia",Ordos,LOC-0921
,"Nantong,Shenzhen",LOC-0922
,Xinzhou,LOC-0923
Anhui,"Suzhou,Chengdu,Liangshan",LOC-0924
,Zibo,LOC-0925
"Beijing,Henan",Zhengzhou,LOC-0926
Guangxi,"Zhengzhou,Luohe,Shenzhen,Nanning",LOC-0927
,"Yueyang,Ziyang",LOC-0928
"Beijing,Jiangxi",,LOC-0929
"Inner mongolia,Inner mongolia",Ulanqab,LOC-0930
"Beijing,Heilongjiang",Jiamusi,LOC-0931
Beijing,Jiamusi,LOC-0932
"Beijing,Jilin","Jilin,Changchun,Tonghua",LOC-0933
"Beijing,Jilin","Jilin,Tonghua",LOC-0934
,Tongliao,LOC-0935
Chongqing,Shenzhen,LOC-0936
"Beijing,Henan",Xinxiang,LOC-0937
,Guangyuan,LOC-0938
"Beijing,Sichuan",Nanchong,LOC-0939
Sichuan,Nanchong,LOC-0940
"Heilongjiang,Henan,Hubei","Heihe,Taian,Zhoukou",LOC-0941
Guangxi,"Shenzhen,Chongzuo,Xining",LOC-0942
,Datong,LOC-0943
Beijing,Xi'an,LOC-0944
,Cangzhou,LOC-0945
,Huzhou,LOC-0946
,Zhoushan,LOC-0947
Beijing,"Nanchang,Ganzhou,Pingxiang",LOC-0948
Beijing,Jinan,LOC-0949
Beijing,"Jinan,Weihai",LOC-0950
Yunnan,Wenshan,LOC-0951
Beijing,"Chengdu,Guang'an",LOC-0952
"Beijing,Tianjin,Hebei,Shanghai,Anhui,Shandong,Hunan,Guangdong,Sichuan","Dalian,Jinzhou,Nanjing,Hangzhou,Xiamen,Quanzhou,Putian,Qingdao,Shenzhen",LOC-0953
"Beijing,Henan",Luoyang,LOC-0954
"Shanghai,Zhejiang","Wenzhou,Hangzhou",LOC-0955
"Beijing,Shanghai",Lishui,LOC-0956
,Benxi,LOC-0957
Shaanxi,"Kunming,Xi'an",LOC-0958
"Beijing,Shanxi",Linfen,LOC-0959
Beijing,"Jinan,Dezhou",LOC-0960
"Beijing,Zhejiang",Hangzhou,LOC-0961
"Beijing,Zhejiang","Wenzhou,Hangzhou",LOC-0962
"Beijing,Shanghai",Dalian,LOC-0963
"Hebei,Shanxi",,LOC-0964
"Beijing,Shanghai,Henan",Zhengzhou,LOC-0965
,Taiyuan,LOC-0966
Liaoning,Benxi,LOC-0967
,Yuncheng,LOC-0968
"Tianjin,Hubei","Jinan,Shenzhen",LOC-0969
"Beijing,Shaanxi",Xi'an,LOC-0970
,Shiyan,LOC-0971
,"Xinyang,Hechi",LOC-0972
"Beijing,Hunan",Changsha,LOC-0973
,Xing'an league,LOC-0974
Anhui,"Hangzhou,Jiaxing",LOC-0975
Beijing,"Wenzhou,Taizhou",LOC-0976
Beijing,"Hangzhou,Jiaxing",LOC-0977
Beijing,"Jinan,Yantai",LOC-0978
Beijing,Guiyang,LOC-0979
"Beijing,Yunnan",,LOC-0980
"Beijing,Hubei",Huangshi,LOC-0981
"Beijing,Shanxi",,LOC-0982
Beijing,Ulanqab,LOC-0983
"Beijing,Shanghai",Taian,LOC-0984
Beijing,Guilin,LOC-0985
Beijing,Fuxin,LOC-0986
"Shanghai,Chongqing",,LOC-0987
Hongkong,"Dalian,Harbin",LOC-0988
"Beijing,Henan",Shangqiu,LOC-0989
"Beijing,Hebei,Jiangsu,Hunan,Guangdong,Gansu","Handan,Nanjing,Zhenjiang,Shaoxing,Xiamen,Hengyang,Wenchang,Wuwei",LOC-0990
,"Xiamen,Quanzhou",LOC-0991
Beijing,Xiamen,LOC-0992
Beijing,"Xiamen,Ganzhou",LOC-0993
,Wuzhong,LOC-0994
Shanxi,Jinzhong,LOC-0995
"Beijing,Jiangsu",Suzhou,LOC-0996
"Beijing,Guangxi",Nanning,LOC-0997
,Bortala,LOC-0998
Beijing,Nantong,LOC-0999
,"Ordos,Xilin gol",LOC-1000
Beijing,Shizuishan,LOC-1001
Beijing,Huzhou,LOC-1002
Beijing,Harbin,LOC-1003
"Beijing,Hebei",Langfang,LOC-1004
Beijing,Tangshan,LOC-1005
"Beijing,Shanghai,Guangxi",Nanning,LOC-1006
,"Guiyang,Qiannan",LOC-1007
"Beijing,Xinjiang",Urumqi,LOC-1008
Beijing,Dongying,LOC-1009
"Henan,Guangxi",Nanning,LOC-1010
Beijing,Zhoushan,LOC-1011
Beijing,"Chengdu,Bazhong",LOC-1012
"Beijing,Chongqing",Ningbo,LOC-1013
Beijing,Zhaotong,LOC-1014
Beijing,Yantai,LOC-1015
,"Wenzhou,Zhongshan",LOC-1016
,"Hangzhou,Jiaxing",LOC-1017
,Huainan,LOC-1018
,"Xiamen,Fuzhou",LOC-1019
Beijing,Huainan,LOC-1020
,Qianxinan,LOC-1021
Beijing,Wuxi,LOC-1022
Beijing,Lishui,LOC-1023
"Jiangxi,Shandong",,LOC-1024
Jiangxi,Xi'an,LOC-1025
Beijing,Dezhou,LOC-1026
Beijing,"Ningbo,Xuancheng,Panzhihua",LOC-1027
,Sanming,LOC-1028
,"Xiamen,Sanming",LOC-1029
Shaanxi,"Dandong,Yingkou,Wenzhou,Taizhou,Quanzhou,Fuzhou,Xi'an",LOC-1030
,Shizuishan,LOC-1031
"Shanghai,Anhui",Wuhu,LOC-1032
,Quanzhou,LOC-1033
"Beijing,Shandong,Hainan",Sanya,LOC-1034
,Ganzhou,LOC-1035
,Liaoyuan,LOC-1036
Shanghai,Changji,LOC-1037
,Aksu,LOC-1038
,Yantai,LOC-1039
,Heze,LOC-1040
,Liaocheng,LOC-1041
,Kaifeng,LOC-1042
Guangxi,Yulin,LOC-1043
,Dandong,LOC-1044
Jilin,"Jilin,Yanbian",LOC-1045
,Yanbian,LOC-1046
,Fuxin,LOC-1047
,"Dalian,Fuxin",LOC-1048
,Foshan,LOC-1049
,"Zhuhai,Foshan",LOC-1050
,"Wuxi,Ningbo",LOC-1051
"Beijing,Guangxi","Nanchang,Rizhao,Nanning",LOC-1052
"Beijing,Tianjin,Jilin","Shuozhou,Dalian,Shenyang,Jilin,Changzhou,Wenzhou,Jinhua,Nanning",LOC-1053
"Shanghai,Jiangsu","Suzhou,Lishui,Linyi,Shenzhen",LOC-1054
,Taizhou,LOC-1055
Beijing,Dongguan,LOC-1056
Sichuan,"Chengdu,Dazhou,Leshan,Meishan",LOC-1057
"Tianjin,Jilin,Shanghai,Hubei","Jilin,Wenzhou,Huangshi",LOC-1058
"Shanghai,Zhejiang,Guizhou,Inner mongolia","Wenzhou,Hangzhou,Guiyang",LOC-1059
,Zhuhai,LOC-1060
"Liaoning,Shaanxi,Qinghai","Xi'an,Xining",LOC-1061
"Jiangxi,Guangdong",,LOC-1062
,Guiyang,LOC-1063
Zhejiang,Huaihua,LOC-1064
Heilongjiang,Sanya,LOC-1065
