province_occurred,city_occurred,location_id
Shandong,Zaozhuang,LOC-0175
Jiangsu,Huaian,LOC-0176
Shanxi,Yangquan,LOC-0177
Jilin,Siping,LOC-0178
Xinjiang,Hami,LOC-0179
Anhui,Chizhou,LOC-0180
Inner mongolia,Bayannur,LOC-0181
Hebei,Chengde,LOC-0182
Jiangxi,Ganzhou,LOC-0183
Hunan,Shaoyang,LOC-0184
Heilongjiang,Suihua,LOC-0185
Anhui,Xuancheng,LOC-0186
Jiangxi,Pingxiang,LOC-0187
Guangxi,Baise,LOC-0188
Gansu,Wuwei,LOC-0189
Shanxi,Linfen,LOC-0190
Hebei,Cangzhou,LOC-0191
Tibet,,LOC-0192
Hubei,Ezhou,LOC-0193
Hunan,Yueyang,LOC-0194
Henan,Pingdingshan,LOC-0195
Heilongjiang,Jiamusi,LOC-0196
Hebei,Tangshan,LOC-0197
Jiangxi,Jingdezhen,LOC-0198
Heilongjiang,Shuangyashan,LOC-0199
Hubei,Jingmen,LOC-0200
Guizhou,,LOC-0201
Hongkong,,LOC-0202
Sichuan,Leshan,LOC-0203
Zhejiang,,LOC-0204
Shaanxi,Ankang,LOC-0205
Hubei,Yichang,LOC-0206
Shandong,Laiwu,LOC-0207
Shandong,Rizhao,LOC-0208
Shanxi,Yuncheng,LOC-0209
Guangxi,,LOC-0210
Hunan,Yongzhou,LOC-0211
Shandong,Binzhou,LOC-0212
Shandong,Heze,LOC-0213
Henan,Zhumadian,LOC-0214
Hubei,Huangshi,LOC-0215
Anhui,Lu'an,LOC-0216
Shaanxi,Yulin,LOC-0217
Hebei,Zhangjiakou,LOC-0218
Anhui,Huainan,LOC-0219
Heilongjiang,Qiqihar,LOC-0220
Yunnan,Diqing,LOC-0221
Inner mongolia,Xing'an league,LOC-0222
Jiangsu,Lianyungang,LOC-0223
Yunnan,Zhaotong,LOC-0224
Shanghai,,LOC-0225
Jilin,Tonghua,LOC-0226
Hubei,Jingzhou,LOC-0227
Jiangsu,Zhenjiang,LOC-0228
Gansu,Qingyang,LOC-0229
Heilongjiang,Jixi,LOC-0230
Anhui,Wuhu,LOC-0231
Anhui,Anqing,LOC-0232
Jiangsu,Yangzhou,LOC-0233
Jiangsu,Changzhou,LOC-0234
Jiangsu,Taizhou,LOC-0235
Jilin,Baishan,LOC-0236
Jiangxi,Xinyu,LOC-0237
Shandong,Taian,LOC-0238
Sichuan,Neijiang,LOC-0239
Sichuan,Guang'an,LOC-0240
Yunnan,Lijiang,LOC-0241
Gansu,Tianshui,LOC-0242
Shanxi,Xinzhou,LOC-0243
Shaanxi,Tongchuan,LOC-0244
Fujian,Putian,LOC-0245
Shaanxi,Baoji,LOC-0246
Hainan,Danzhou,LOC-0247
Anhui,Huangshan,LOC-0248
Guangdong,Zhanjiang,LOC-0249
Liaoning,,LOC-0250
Sichuan,Mianyang,LOC-0251
Henan,Jiaozuo,LOC-0252
Zhejiang,Jiaxing,LOC-0253
Jilin,Yanbian,LOC-0254
Hubei,Huanggang,LOC-0255
Hunan,Loudi,LOC-0256
Zhejiang,Shaoxing,LOC-0257
Guizhou,Qiandongnan,LOC-0258
Anhui,Chuzhou,LOC-0259
Xinjiang,,LOC-0260
Gansu,Zhangye,LOC-0261
Guangxi,Hechi,LOC-0262
"Hubei,Chongqing,Shaanxi",Nanjing,LOC-0263
"Jiangsu,Fujian","Changzhou,Quanzhou",LOC-0264
"Shanghai,Jiangsu,Zhejiang,Chongqing","Wenzhou,Ningbo,Hangzhou,Taizhou,Jiaxing,Huzhou,Shaoxing,Zhoushan,Lishui,Chengdu",LOC-0265
"Beijing,Shanghai,Fujian","Fuzhou,Sanming,Shenzhen,Chengdu",LOC-0266
"Shanghai,Hongkong",,LOC-0267
Shanxi,"Taiyuan,Datong,Yuncheng,Jincheng",LOC-0268
"Beijing,Gansu",Lanzhou,LOC-0269
Henan,"Dalian,Heihe,Suzhou,Nanjing,Xi'an",LOC-0270
"Jiangsu,Qinghai","Wuxi,Xining",LOC-0271
Sichuan,"Chengdu,Guangyuan,Ya'an",LOC-0272
Jiangsu,"Lianyungang,Wenzhou,Hangzhou,Huzhou",LOC-0273
,"Mianyang,Guangyuan",LOC-0274
"Shanghai,Jiangsu,Zhejiang,Guizhou","Xuzhou,Wuxi,Nanjing,Changsha",LOC-0275
"Chongqing,Yunnan","Kunming,Qujing,Simao",LOC-0276
Shandong,Liaocheng,LOC-0277
