horizon_days,model,best_threshold,roc_auc,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,test_rows,positive_rate_test
90,ExtraTrees,0.51,0.78558352402746,0.8970917225950783,0.09090909090909091,0.4,0.14814814814814814,397,40,6,4,447,0.02237136465324385
90,RandomForest,0.32,0.7389016018306636,0.9373601789709173,0.125,0.3,0.17647058823529413,416,21,7,3,447,0.02237136465324385
90,LogisticRegression,0.7000000000000001,0.6034324942791762,0.9463087248322147,0.1111111111111111,0.2,0.14285714285714285,421,16,8,2,447,0.02237136465324385
180,ExtraTrees,0.5700000000000001,0.8768453768453768,0.9038031319910514,0.2222222222222222,0.5555555555555556,0.31746031746031744,394,35,8,10,447,0.040268456375838924
180,RandomForest,0.27,0.8679098679098679,0.8299776286353467,0.16279069767441862,0.7777777777777778,0.2692307692307692,357,72,4,14,447,0.040268456375838924
180,LogisticRegression,0.48000000000000004,0.6408961408961409,0.8702460850111857,0.14285714285714285,0.4444444444444444,0.21621621621621623,381,48,10,8,447,0.040268456375838924
365,ExtraTrees,0.64,0.8263067939040022,0.8970917225950783,0.375,0.5294117647058824,0.43902439024390244,383,30,16,18,447,0.07606263982102908
365,RandomForest,0.5,0.8063666144423871,0.8948545861297539,0.34146341463414637,0.4117647058823529,0.37333333333333335,386,27,20,14,447,0.07606263982102908
365,LogisticRegression,0.48000000000000004,0.7552342971086741,0.8590604026845637,0.2542372881355932,0.4411764705882353,0.3225806451612903,369,44,19,15,447,0.07606263982102908
