business_line,event_type,causal_factor,province_occurred,year_month,event_count,total_loss_cny,avg_loss_cny,median_loss_cny,max_loss_cny,high_loss_count,avg_banks_involved,month_start,event_count_lag_1,total_loss_lag_1,high_loss_count_lag_1,event_count_lag_2,total_loss_lag_2,high_loss_count_lag_2,event_count_lag_3,total_loss_lag_3,high_loss_count_lag_3,event_count_lag_6,total_loss_lag_6,high_loss_count_lag_6,event_count_lag_12,total_loss_lag_12,high_loss_count_lag_12,event_count_roll_3,total_loss_roll_3,high_loss_roll_3,event_count_roll_6,total_loss_roll_6,high_loss_roll_6,event_count_roll_12,total_loss_roll_12,high_loss_roll_12,loss_per_event,log_total_loss,future_window_end,future_high_loss,future_any_event,business_line_freq,event_type_freq,causal_factor_freq,province_occurred_freq,month_num,quarter_num,year_num,horizon_days
Agency services,Internal fraud,People,Guizhou,2000-05,1,1120000.0,1120000.0,1120000.0,1120000.0,0,1.0,2000-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120000.0,13.928840136128022,2000-10-28,0,0,0.006269592476489028,0.380653828929691,0.45947156291983876,0.010747872816838333,5,2,2000,180
Agency services,Internal fraud,People,Liaoning,2005-07,1,1680000.0,1680000.0,1680000.0,1680000.0,0,0.0,2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680000.0,14.33430494661736,2005-12-28,0,0,0.006269592476489028,0.380653828929691,0.45947156291983876,0.02910882221227049,7,3,2005,180
Agency services,Internal fraud,People,Shandong,2008-01,1,102300.0,102300.0,102300.0,102300.0,0,1.0,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102300.0,11.535674727063007,2008-06-29,0,0,0.006269592476489028,0.380653828929691,0.45947156291983876,0.050156739811912224,1,1,2008,180
Agency services,Internal fraud,People,"Yunnan,Ningxia",2013-07,1,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1,1.0,2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250000000.0,20.94640938906062,2013-12-28,0,0,0.006269592476489028,0.380653828929691,0.45947156291983876,0.0004478280340349306,7,3,2013,180
Asset management,Business disruption and system failures,System,Beijing,2016-11,2,14358000.0,7179000.0,7179000.0,7179000.0,0,1.0,2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7179000.0,16.479817905766147,2017-04-30,0,0,0.19435736677115986,0.009404388714733543,0.017465293327362293,0.09404388714733543,11,4,2016,180
Asset management,Business disruption and system failures,System,"Henan,Guangxi",2017-11,1,200000.0,200000.0,200000.0,200000.0,0,0.0,2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,12.206077645517674,2018-04-30,0,0,0.19435736677115986,0.009404388714733543,0.017465293327362293,0.0004478280340349306,11,4,2017,180
Asset management,"Clients, products & business practices",External event,Anhui,2018-07,1,200000.0,200000.0,200000.0,200000.0,0,0.0,2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,12.206077645517674,2018-12-28,0,0,0.19435736677115986,0.14240931482310792,0.322884012539185,0.025078369905956112,7,3,2018,180
Asset management,"Clients, products & business practices",External event,Beijing,2019-04,1,12200000000.0,12200000000.0,12200000000.0,12200000000.0,1,1.0,2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12200000000.0,23.22470178876759,2019-09-28,0,0,0.19435736677115986,0.14240931482310792,0.322884012539185,0.09404388714733543,4,2,2019,180
Asset management,"Clients, products & business practices",External event,"Beijing,Shanghai,Jiangsu,Chongqing,Hongkong",2012-11,1,312000000.0,312000000.0,312000000.0,312000000.0,1,7.0,2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312000000.0,19.558513748978886,2013-04-30,0,0,0.19435736677115986,0.14240931482310792,0.322884012539185,0.0004478280340349306,11,4,2012,180
Asset management,"Clients, products & business practices",External event,Fujian,2011-04,1,37000.0,37000.0,37000.0,37000.0,0,0.0,2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000.0,10.518700218288165,2011-09-28,0,0,0.19435736677115986,0.14240931482310792,0.322884012539185,0.02373488580385132,4,2,2011,180
