model,threshold,roc_auc,precision_class1,recall_class1,f1_class1,predicted_positives
Pre-Loss Predictive Model,0.1,0.5607424307437913,0.11475409836065574,0.9158878504672897,0.20395421436004163,854
Pre-Loss Predictive Model,0.2,0.5607424307437913,0.1163101604278075,0.8130841121495327,0.20350877192982456,748
Pre-Loss Predictive Model,0.3,0.5607424307437913,0.11869436201780416,0.7476635514018691,0.20486555697823303,674
Pre-Loss Predictive Model,0.4,0.5607424307437913,0.1242603550295858,0.5887850467289719,0.20521172638436483,507
Pre-Loss Predictive Model,0.5,0.5607424307437913,0.132013201320132,0.37383177570093457,0.1951219512195122,303
Pre-Loss Predictive Model,0.6,0.5607424307437913,0.12195121951219512,0.14018691588785046,0.13043478260869565,123
Pre-Loss Predictive Model,0.7,0.5607424307437913,0.10714285714285714,0.028037383177570093,0.044444444444444446,28
Pre-Loss Predictive Model,0.8,0.5607424307437913,0.0,0.0,0.0,0
Pre-Loss Predictive Model,0.9,0.5607424307437913,0.0,0.0,0.0,0
