model,best_threshold,roc_auc,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,test_rows,positive_rate_test
ExtraTrees,0.51,0.78558352402746,0.8970917225950783,0.09090909090909091,0.4,0.14814814814814814,397,40,6,4,447,0.02237136465324385
RandomForest,0.32,0.7389016018306636,0.9373601789709173,0.125,0.3,0.17647058823529413,416,21,7,3,447,0.02237136465324385
LogisticRegression,0.7000000000000001,0.6034324942791762,0.9463087248322147,0.1111111111111111,0.2,0.14285714285714285,421,16,8,2,447,0.02237136465324385
